country,year,adj_svng_gn,country_id,domestic_credit_to_private,rule_of_law,gdp_pc,fdi_stock_tuorism,fdi_stock_manuf,adj_savings,fdi_manufacturing_gdp,fdi_tourism_gdp,trade_index,control_of_corruption,di_inward_stock_BDP
Estonia,2011,13.3704652262291,4,78.0284238606159,101.183755517006,12540,73.7,2117,13.1541511745697,12.6939012909764,0.441918056280093,167.391979831694,1.04544830322266,75.7673353
Estonia,2012,13.7158157325284,4,72.920867825862,101.15704870224,13520,83.1,2186.1,13.144954250808199,12.2014656716918,0.463813090580297,170.759926419412,1.08829832077026,80.1058538
Estonia,2013,12.9398647063487,4,69.4841631103184,101.198387622833,14320,82.4,2067,12.2749970688548,10.9302620724665,0.435729847494553,166.452834530816,1.18153917789459,83.76166
Estonia,2014,13.9744056372578,4,67.2727851332083,101.372823953629,15240,88.7,2096.9,13.066259603039899,10.4592931036203,0.442433734699374,160.241474731979,1.2990083694458,84.0025538
Estonia,2015,13.2239925987334,4,68.9678170544436,101.331784725189,15710,101.962216,2388.0476789999998,12.3259920424253,11.5748212869703,0.494208904873155,150.937189701775,1.25554597377777,82.1272429
Estonia,2016,13.5380239646039,4,69.7998106484715,101.226433396339,16530,103.266485,2525.5039660000002,12.6041986124033,11.6126337071625,0.474834282850298,150.408696743733,1.23113560676575,83.2908005
Estonia,2017,15.5833415384592,4,64.1321118987662,101.285827517509,18120,112.173388,2626.262056,14.9565653468149,11.0191580625671,0.470652305988185,147.563722396444,1.20257091522217,81.5965669
Estonia,2018,16.4434960364321,4,62.2248106297407,101.24072766304,19570,104.19199399999999,2791.0294469999999,15.366667978731501,10.810527068639,0.403568071516828,145.920296083136,1.46872520446777,81.8941581
Estonia,2019,16.565982985067,4,59.7822970984365,101.281483411789,20930,111.73822699999999,3060.423984,15.5069854548442,11.0355938165965,0.402917273359945,143.754530253766,1.52543818950653,87.2972574
Estonia,2020,15.8755289237849,4,64.8455770833398,101.382245540619,20190,99.855411000000004,3175.6833270000002,14.2637729938878,11.8343301608005,0.372115787512344,138.466338699949,1.58086550235748,101.186029
Hungary,1997,4.03837883096382,5,23.5164513003477,,4070,,,3.9848965673186401,,,94.8487191212692,,38.8802746
Hungary,1998,4.39564254939252,5,23.3768796889882,100.87188833952,4220,165.34299999999999,5732.7809999999999,4.3995813252952303,13.229049528389,0.381547932176795,107.42990062644,0.732710957527161,40.9821727
Hungary,1999,1.03038384278647,5,25.5102063613755,,4500,212.971,7192.0110000000004,0.997173701326036,15.6230564484944,0.46263248970174,114.025774849784,,50.0519473
Hungary,2000,1.86371895960499,5,31.8847242380064,100.906141519547,5020,272.86799999999999,8470.4230000000007,1.8881872813980101,16.531373465957,0.532545165089012,137.40660123512,0.720579922199249,47.968219
Hungary,2001,3.58115029502043,5,32.6429490257506,,5890,295.416,11587.835999999999,3.61827434757069,19.3089211377744,0.492254485379045,131.045068739569,,51.7308165
Hungary,2002,4.34246171699053,5,34.3583054674881,100.975001692772,7060,332.65300000000002,13608.777,4.3584557573334104,18.9653275268539,0.46358854273169,118.320109162292,0.574014663696289,48.1836026
Hungary,2003,2.93853075692945,5,36.4622759767622,100.932617545128,7450,268.30700000000002,15204.629000000001,2.9566693740227699,20.1538418403944,0.355642800799066,116.629337013972,0.63568913936615,50.8149916
Hungary,2004,4.5083538645781,5,38.9020920831067,100.913250148296,8300,326.24299999999999,17861.781999999999,4.4845867645747903,21.289486633673,0.38884955531477,123.446305858264,0.665135562419891,53.8061548
Hungary,2005,4.54890361595492,5,43.201637021768,100.864853382111,9030,352.37200000000001,19307.922999999999,4.5160719906651403,21.1916651046588,0.38675052807383,127.813088986281,0.625532269477844,56.6951212
Hungary,2006,5.66319835202357,5,47.2190724319629,100.997733533382,9150,350.827,19608.172999999999,5.71167545787669,21.277358680139,0.380691863218318,149.008636494873,0.633171617984772,66.0784407
Hungary,2007,4.39013681575193,5,53.1584797827118,100.964174389839,10190,387.35500000000002,21549.811000000002,4.37976701424728,21.0356179777441,0.378112448492893,155.498250362114,0.595291078090668,63.5107256
Hungary,2008,5.07652826437932,5,59.3055058297012,100.926061689854,10800,417.15100000000001,17309.737000000001,5.0286753921123797,15.971520327395,0.384901034376962,158.325297842814,0.434097021818161,57.693967
Hungary,2009,5.18602311646019,5,59.7626760863865,100.796490192413,9440,351.18299999999999,17244.761999999999,5.2267262905795002,18.2218120109657,0.371080250771043,144.999897438898,0.395329833030701,72.5927785
Hungary,2010,5.85623951778825,5,60.1692854482537,100.778754115105,9980,416.78300000000002,17357.256000000001,5.8786683248992597,17.3896434850603,0.417560689352849,157.464913798909,0.303954064846039,68.2823466
Hungary,2011,5.97117288731352,5,58.3288125781048,100.76347464323,10250,445.69299999999998,10046.334000000001,6.0041266471494099,9.8306963024802,0.436126504169711,166.433183141671,0.332649558782578,64.8337587
